GCF_000025225	SAMN00006219	SRR031638	LS454	SINGLE	454 GS FLX
GCF_000025245	SAMN02603131	SRR13443639	OXFORD_NANOPORE	SINGLE	MinION
GCF_000025245	SAMN02603131	SRR13443640	ILLUMINA	PAIRED	Illumina MiSeq
GCF_000025765	SAMN00000718	SRR005146	LS454	SINGLE	454 GS FLX
GCF_000092845	SAMN00001910	SRR3924045	ILLUMINA	PAIRED	Illumina Genome Analyzer IIx
GCF_000092845	SAMN00001910	SRR3924046	ILLUMINA	SINGLE	Illumina Genome Analyzer IIx
GCF_000092845	SAMN00001910	SRR3924047	ILLUMINA	SINGLE	Illumina Genome Analyzer IIx
GCF_000092845	SAMN00001910	SRR3924048	ILLUMINA	PAIRED	Illumina Genome Analyzer II
GCF_000092845	SAMN00001910	SRR3924049	ILLUMINA	PAIRED	Illumina HiSeq 2000
GCF_000092845	SAMN00001910	SRR3924050	ILLUMINA	PAIRED	Illumina HiSeq 2000
GCF_000092845	SAMN00001910	SRR3924051	ILLUMINA	PAIRED	Illumina Genome Analyzer II
GCF_000092845	SAMN00001910	SRR3924052	ILLUMINA	PAIRED	Illumina HiSeq 2000
GCF_000092845	SAMN00001910	SRR3924053	ILLUMINA	PAIRED	Illumina HiSeq 2000
GCF_000092845	SAMN00001910	SRR3924054	ILLUMINA	PAIRED	Illumina HiSeq 2000
GCF_000092845	SAMN00001910	SRR3924055	ILLUMINA	SINGLE	Illumina Genome Analyzer IIx
GCF_000092845	SAMN00001910	SRR3924056	ILLUMINA	SINGLE	Illumina Genome Analyzer II
GCF_000092845	SAMN00001910	SRR3924057	ILLUMINA	SINGLE	Illumina Genome Analyzer II
GCF_000092845	SAMN00001910	SRR3924058	ILLUMINA	SINGLE	Illumina Genome Analyzer II
GCF_000092845	SAMN00001910	SRR3924059	ILLUMINA	SINGLE	Illumina Genome Analyzer II
GCF_000092845	SAMN00001910	SRR3924060	ILLUMINA	PAIRED	Illumina Genome Analyzer IIx
GCF_000092845	SAMN00001910	SRR3924061	ILLUMINA	PAIRED	Illumina MiSeq
GCF_000092845	SAMN00001910	SRR3924062	ILLUMINA	PAIRED	Illumina MiSeq
GCF_000092845	SAMN00001910	SRR3924063	ILLUMINA	PAIRED	Illumina MiSeq
GCF_000092845	SAMN00001910	SRR3924064	ILLUMINA	PAIRED	Illumina Genome Analyzer II
GCF_000143845	SAMN00016989	SRR059976	LS454	SINGLE	454 GS FLX
GCF_000143845	SAMN00016989	SRR059977	LS454	SINGLE	454 GS FLX
