genomeQ	genomeR	total_CDS_bases_a	unmapped_CDS_bases_b	fract_CDS_unmapped_X	total_NC_bases_c	unmapped_NC_bases_d	frac_NC_unmapped_Y	genomeQ_size	unmapped_bases
GCF_002286335	GCF_004634665	3451528	0	0	655739	0	0	4107267	0
GCF_004634665	GCF_002286335	3470154	0	0	637221	0	0	4107375	0
GCF_002286375	GCF_022406995	3472623	0	0	634799	0	0	4107422	0
GCF_022406995	GCF_002286375	3468205	0	0	638160	0	0	4106365	0
GCF_002442615	GCF_004634605	3469049	15782	0.00454937361795697	626438	1307	0.00208639961177323	4095487	17089
GCF_004634605	GCF_002442615	3464913	0	0	646723	0	0	4111636	0
GCF_002859965	GCF_009626275	4120540	0	0	653317	0	0	4773857	0
GCF_009626275	GCF_002859965	4120424	0	0	653478	0	0	4773902	0
GCF_002859965	GCF_009626495	4120047	0	0	653830	0	0	4773877	0
GCF_009626495	GCF_002859965	4120424	0	0	653478	0	0	4773902	0
GCF_003186245	GCF_009627115	3098829	1314	0.000424031142086253	594731	167	0.000280799218470199	3693560	1481
GCF_009627115	GCF_003186245	3097183	200	6.45748087859193e-05	601085	0	0	3698268	200
GCF_004635105	GCF_004635905	3469917	0	0	642782	0	0	4112699	0
GCF_004635905	GCF_004635105	3479949	0	0	630630	0	0	4110579	0
GCF_004635905	GCF_004636545	3462330	0	0	648253	0	0	4110583	0
GCF_004636545	GCF_004635905	3469917	0	0	642782	0	0	4112699	0
GCF_009626895	GCF_009627115	3098829	942	0.000303985795924848	594731	85	0.000142921757903994	3693560	1027
GCF_009627115	GCF_009626895	3100825	0	0	595799	0	0	3696624	0
GCF_047323835	GCF_055542695	3474377	0	0	629893	0	0	4104270	0
GCF_055542695	GCF_047323835	3413391	0	0	697413	0	0	4110804	0
GCF_029459635	GCF_029459655	3259487	593	0.000181930469426631	489931	376	0.000767455008970651	3749418	969
GCF_029459655	GCF_029459635	3259383	0	0	490998	0	0	3750381	0
GCF_005937885	GCF_005937905	6256418	0	0	1051992	0	0	7308410	0
GCF_005937905	GCF_005937885	6257576	0	0	1050872	0	0	7308448	0
GCF_011604625	GCF_035213875	7610986	0	0	1529053	0	0	9140039	0
GCF_035213875	GCF_011604625	7656835	0	0	1485232	0	0	9142067	0
GCF_013390305	GCF_055380625	7684588	68658	0.00893450631315563	1416814	9027	0.00637133738091239	9101402	77685
GCF_055380625	GCF_013390305	7584281	157552	0.0207734919104395	1410873	21318	0.0151097937234606	8995154	178870
GCF_013752735	GCF_038729565	7689379	42847	0.00557223151570497	1518436	18175	0.0119695528820444	9207815	61022
GCF_038729565	GCF_013752735	7728915	46400	0.00600342997691138	1497333	9837	0.00656968089262709	9226248	56237
GCF_014163455	GCF_014163475	7835053	0	0	1597591	0	0	9432644	0
GCF_014163475	GCF_014163455	7622053	53143	0.00697226849511542	1487239	7362	0.00495011225499062	9109292	60505
GCF_035211335	GCF_035213875	7610986	0	0	1529053	0	0	9140039	0
GCF_035213875	GCF_035211335	7621302	9916	0.0013010900237256	1498796	4047	0.00270016733431368	9120098	13963
GCF_035213875	GCF_055504515	7662768	139721	0.0182337505193946	1474151	22279	0.0151131057808868	9136919	162000
GCF_055504515	GCF_035213875	7610986	149822	0.019684965916374	1529053	21839	0.0142826965448549	9140039	171661
GCF_055379835	GCF_055391065	7650866	155349	0.0203047602715823	1516360	30327	0.0199998681051993	9167226	185676
GCF_055391065	GCF_055379835	7766433	43138	0.00555441603629362	1533286	7176	0.00468014447402507	9299719	50314
GCF_055382325	GCF_055389125	7741542	158494	0.0204731822161528	1525971	36854	0.0241511798061693	9267513	195348
GCF_055389125	GCF_055382325	7669155	247354	0.0322530969839572	1508004	46278	0.0306882475112798	9177159	293632
GCF_055385305	GCF_055394845	7800832	114712	0.0147050981228669	1517357	25474	0.016788402465603	9318189	140186
GCF_055394845	GCF_055385305	7793484	104248	0.0133763025624996	1524861	13209	0.00866242890335578	9318345	117457
GCF_040529205	GCF_040529225	3428086	0	0	572081	0	0	4000167	0
GCF_040529225	GCF_040529205	3429844	0	0	571518	0	0	4001362	0
GCF_055386345	GCF_055388225	7817195	260273	0.0332949350758168	1521023	53002	0.0348462843757129	9338218	313275
GCF_055388225	GCF_055386345	7576993	414457	0.0546994038400194	1459708	160450	0.109919244122797	9036701	574907
