genomeID	total_CDS_count	unique_CDS_count	genome_size	CDS_bases	CDS_frac	NC_bases	NC_frac	J	A	K	L	B	D	Y	V	T	M	N	Z	W	U	O	X	C	G	E	F	H	I	P	Q	R	S	noCOG
GCF_001457475	6183	6181	6813182	6117325	0.8978661	695857	0.1021339	244.416666666667	1	595.333333333333	142.333333333333	1	44	0	124.5	264.333333333333	312	60.3333333333333	1	21.8333333333333	100.333333333333	220.166666666667	52.5	405.166666666667	260.25	613.5	79	203.416666666667	319.5	434.25	135.25	367.583333333333	173	1007
GCF_036866055	3966	3916	4547644	3662853	0.8054397	884791	0.1945603	242.916666666667	1	281.833333333333	124.833333333333	0	44.1666666666667	0	79.5	164	232.666666666667	69.8333333333333	2	20.8333333333333	63.3333333333333	139.833333333333	94.5	158.5	311.083333333333	305	90.5	163.583333333333	131.333333333333	206.916666666667	47.75	175.083333333333	137	678
GCF_036874005	4044	3986	4647976	3650239	0.7853395	997737	0.2146605	237.916666666667	1	282.333333333333	131.333333333333	0	44.1666666666667	0	83	164.5	232.666666666667	69.8333333333333	2	19.8333333333333	60.8333333333333	143.833333333333	121.5	156	303.583333333333	300.5	90.5	163.583333333333	129.833333333333	202.416666666667	47.75	172.083333333333	138	745
GCF_036866425	4066	4000	4610001	3712660	0.8053491	897341	0.1946509	242.416666666667	1	280.833333333333	132.333333333333	0	43.6666666666667	0	85.5	165	231.166666666667	70.8333333333333	2	21.3333333333333	61.3333333333333	143.333333333333	110	157.5	316	302.416666666667	91.5	162.583333333333	132.333333333333	202.166666666667	50.25	172.5	139	749
GCF_036866335	3795	3754	4539261	3390954	0.7470278	1148307	0.2529722	237.416666666667	1	274.833333333333	115.333333333333	0	40.6666666666667	0	72	154.5	211.166666666667	67.8333333333333	2	19.8333333333333	65.3333333333333	136.333333333333	99.5	149	296.75	281.166666666667	87	150.583333333333	121.333333333333	192.416666666667	45.75	161.25	135	677
GCF_013167015	4188	4107	4560251	3894716	0.8540574	665535	0.1459426	248	2	252.833333333333	136.833333333333	0	44.1666666666667	0	86.5	153	259.666666666667	69	1	22	49	150.333333333333	117	260.666666666667	374.833333333333	322.333333333333	99.5	167.833333333333	123.833333333333	199.833333333333	46.5	189.333333333333	154	658
GCF_031551975	4231	4156	4622373	3961603	0.8570496	660770	0.1429504	249	2	255.833333333333	141.833333333333	0	45.1666666666667	0	87.5	154.5	266.666666666667	69	1	22	49.8333333333333	151.333333333333	108.833333333333	261.666666666667	377.333333333333	322.333333333333	99.5	169.333333333333	125.833333333333	205.833333333333	46.5	189.166666666667	153	676
GCF_045920525	4150	4085	4552928	3868555	0.8496851	684373	0.1503149	243.833333333333	2	253.833333333333	145.333333333333	0	42.6666666666667	0	99.5	157.5	247.166666666667	82.5	1	21.5	46.5	150.666666666667	90	248.166666666667	362.166666666667	325.166666666667	97.5	167.666666666667	121.833333333333	199.833333333333	45.5	187.166666666667	156	655
GCF_041262755	4749	4689	5236915	4484203	0.8562681	752712	0.1437319	247.5	2	289.333333333333	163.833333333333	0	44.1666666666667	0	98.5	167.5	277.166666666667	94.3333333333333	1	24.3333333333333	67.3333333333333	164.333333333333	119	261.666666666667	415.833333333333	328.333333333333	101	180.833333333333	139.833333333333	234.333333333333	56	212.833333333333	156	902
GCF_055284865	4198	4147	4605784	3925499	0.8522977	680285	0.1477023	244.833333333333	2	264.333333333333	140.333333333333	0	42.1666666666667	0	101	155	250.666666666667	82.5	1	22.5	46.5	150.666666666667	77.5	259.666666666667	371.666666666667	332.666666666667	99.5	167.666666666667	124.333333333333	202.333333333333	47.5	189.666666666667	157	665
